# Golden traces generated by tools/oracle/gen-golden.sh
# Oracle: WinMIPS64 v1.60 (third_party/winmips64-andoni, commit 322bb665ab6d42e5a6b4e57f61ab01b56ad7eeab)
# Columns: trace | program | flags (always plus --max 5000) | input file | assembled | cycles instructions
# Traces are gzip -9 -n; the content is the stdout of: oracle <program> <flags> --max 5000 [--input <file>]
bgcd.default.trace.gz | bgcd.s | (none) | - | ok | 5000 3995
bgcd.nofwd.trace.gz | bgcd.s | --forwarding 0 | - | ok | 5000 2500
bgcd.ds.trace.gz | bgcd.s | --delayslot 1 | - | ok | 153 139
bgcd.btb.trace.gz | bgcd.s | --btb 1 | - | ok | 5000 4985
bgcd.lat.trace.gz | bgcd.s | --add 2 --mul 3 --div 10 | - | ok | 5000 3995
daxpy.default.trace.gz | daxpy.s | (none) | - | ok | 196 83
daxpy.nofwd.trace.gz | daxpy.s | --forwarding 0 | - | ok | 277 83
daxpy.ds.trace.gz | daxpy.s | --delayslot 1 | - | ok | 25 11
daxpy.btb.trace.gz | daxpy.s | --btb 1 | - | ok | 191 83
daxpy.lat.trace.gz | daxpy.s | --add 2 --mul 3 --div 10 | - | ok | 136 83
daxy.default.trace.gz | daxy.s | (none) | - | ok | 187 74
daxy.nofwd.trace.gz | daxy.s | --forwarding 0 | - | ok | 247 74
daxy.ds.trace.gz | daxy.s | --delayslot 1 | - | ok | 25 11
daxy.btb.trace.gz | daxy.s | --btb 1 | - | ok | 182 74
daxy.lat.trace.gz | daxy.s | --add 2 --mul 3 --div 10 | - | ok | 127 74
dlx6.default.trace.gz | dlx6.s | (none) | - | err | -
dlx6.nofwd.trace.gz | dlx6.s | --forwarding 0 | - | err | -
dlx6.ds.trace.gz | dlx6.s | --delayslot 1 | - | err | -
dlx6.btb.trace.gz | dlx6.s | --btb 1 | - | err | -
dlx6.lat.trace.gz | dlx6.s | --add 2 --mul 3 --div 10 | - | err | -
double.default.trace.gz | double.s | (none) | - | err | -
double.nofwd.trace.gz | double.s | --forwarding 0 | - | err | -
double.ds.trace.gz | double.s | --delayslot 1 | - | err | -
double.btb.trace.gz | double.s | --btb 1 | - | err | -
double.lat.trace.gz | double.s | --add 2 --mul 3 --div 10 | - | err | -
eight.default.trace.gz | eight.s | (none) | - | ok | 19 13
eight.nofwd.trace.gz | eight.s | --forwarding 0 | - | ok | 23 13
eight.ds.trace.gz | eight.s | --delayslot 1 | - | ok | 19 15
eight.btb.trace.gz | eight.s | --btb 1 | - | ok | 19 13
eight.lat.trace.gz | eight.s | --add 2 --mul 3 --div 10 | - | ok | 19 13
ex2.default.trace.gz | ex2.s | (none) | - | err | -
ex2.nofwd.trace.gz | ex2.s | --forwarding 0 | - | err | -
ex2.ds.trace.gz | ex2.s | --delayslot 1 | - | err | -
ex2.btb.trace.gz | ex2.s | --btb 1 | - | err | -
ex2.lat.trace.gz | ex2.s | --add 2 --mul 3 --div 10 | - | err | -
factorial.default.trace.gz | factorial.s | (none) | - | ok | 5000 4634
factorial.nofwd.trace.gz | factorial.s | --forwarding 0 | - | ok | 5000 2706
factorial.ds.trace.gz | factorial.s | --delayslot 1 | - | ok | 8 4
factorial.btb.trace.gz | factorial.s | --btb 1 | - | ok | 5000 4925
factorial.lat.trace.gz | factorial.s | --add 2 --mul 3 --div 10 | - | ok | 5000 4634
fasthail.default.trace.gz | fasthail.s | (none) | - | ok | 966 781
fasthail.nofwd.trace.gz | fasthail.s | --forwarding 0 | - | ok | 1382 781
fasthail.ds.trace.gz | fasthail.s | --delayslot 1 | - | ok | 26 21
fasthail.btb.trace.gz | fasthail.s | --btb 1 | - | ok | 976 781
fasthail.lat.trace.gz | fasthail.s | --add 2 --mul 3 --div 10 | - | ok | 966 781
fifth.default.trace.gz | fifth.s | (none) | - | ok | 27 13
fifth.nofwd.trace.gz | fifth.s | --forwarding 0 | - | ok | 32 13
fifth.ds.trace.gz | fifth.s | --delayslot 1 | - | ok | 27 13
fifth.btb.trace.gz | fifth.s | --btb 1 | - | ok | 27 13
